Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,19851.729999999996,238220.76,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
Increased_Cost Estimate,US East (N. Virginia),,VPN Connection,0,842.5,10110.00,USD,,"Working days per month (22), Number of Site-to-Site VPN Connections (1), Number of subnet associations (2)"
Increased_Cost Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,66.6,799.20,USD,,Number of NAT Gateways (2)
Increased_Cost Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,,"DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
Increased_Cost Estimate,US East (N. Virginia),,Amazon CloudFront,0,870.4,10444.80,USD,,Data transfer out to internet (10 TB per month)
Increased_Cost Estimate,US East (N. Virginia),Application Servers (Private Subnets),Amazon EC2 ,0,2574.12,30889.44,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 2), Advance EC2 instance (m5ad.8xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (enabled), EBS Storage amount (1 TB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
Increased_Cost Estimate,US East (N. Virginia),Web Servers (Public Subnets),Amazon EC2 ,0,3777.16,45325.92,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 2), Advance EC2 instance (m5ad.12xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (enabled), EBS Storage amount (1 TB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
Increased_Cost Estimate,US East (N. Virginia),,Amazon RDS for PostgreSQL,0,5734.719999999999,68816.64,USD,,"Storage amount (5 TB), Storage volume (General Purpose SSD (gp2)), Nodes (1), Instance Type (db.m5.8xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (OnDemand), Additional backup storage (512 GB)"
Increased_Cost Estimate,US East (N. Virginia),,Amazon RDS for PostgreSQL,0,5734.719999999999,68816.64,USD,,"Storage amount (5 TB), Storage volume (General Purpose SSD (gp2)), Nodes (1), Instance Type (db.m5.8xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (OnDemand), Additional backup storage (512 GB), Number of hours running on Amazon RDS Extended Support (0 per month)"
Increased_Cost Estimate,US East (N. Virginia),,Application Load Balancer,0,44.96,539.52,USD,,Number of Application Load Balancers (2)
Increased_Cost Estimate,US East (N. Virginia),,Amazon Route 53,0,183,2196.00,USD,,"Hosted Zones (1), Number of domains stored (1), Number of Elastic Network Interfaces (2)"
Increased_Cost Estimate,US East (N. Virginia),,S3 Standard,0,23.55,282.60,USD,,S3 Standard storage (1 TB per month)
Increased_Cost Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,,
Increased_Cost Estimate,US East (N. Virginia),,AWS Data Transfer,0,0,0.00,USD,,"DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
